hp,value,time
"[20, 0.75, 0.2]",77,0.1594446009985404
"[20, 0.75, 0.2]",111,0.1941121320014645
"[20, 0.75, 0.2]",92,0.16415352699914365
"[20, 0.75, 0.2]",9126922,0.09206654199988407
"[20, 0.75, 0.2]",9721331,0.09532570100054727
"[20, 0.75, 0.3]",13,0.2014896979999321
"[20, 0.75, 0.3]",40,0.18275146700034384
"[20, 0.75, 0.3]",40,0.19326540300062334
"[20, 0.75, 0.3]",40,0.18703620299856993
"[20, 0.75, 0.3]",83,0.15685885699895152
"[20, 0.75, 0.3]",69,0.16990652200001932
"[20, 0.75, 0.3]",116,0.18702517400015495
"[20, 0.75, 0.3]",92,0.16323617400121293
"[20, 0.75, 0.3]",9167285,0.09723622000092291
"[20, 0.75, 0.3]",9949373,0.09475856999961252
"[20, 0.85, 0.1]",13,0.18484560300021258
"[20, 0.85, 0.1]",40,0.17792059800012794
"[20, 0.85, 0.1]",40,0.19265121100033866
"[20, 0.85, 0.1]",40,0.19975640499978908
"[20, 0.85, 0.1]",82,0.1759542630006763
"[20, 0.85, 0.1]",74,0.16356582099979278
"[20, 0.85, 0.1]",111,0.19828208400031144
"[20, 0.85, 0.1]",92,0.18773644099928788
"[20, 0.85, 0.1]",9141374,0.09697031500036246
"[20, 0.85, 0.1]",9647434,0.08934685500025807
"[20, 0.85, 0.2]",13,0.20582128000023658
"[20, 0.85, 0.2]",40,0.18003243299972382
"[20, 0.85, 0.2]",40,0.1824297490002209
"[20, 0.85, 0.2]",39,0.19175927100150147
"[20, 0.85, 0.2]",93,0.15925452199917345
"[20, 0.85, 0.2]",62,0.15766141099993547
"[20, 0.85, 0.2]",111,0.20582189900051162
"[20, 0.85, 0.2]",91,0.16549457799919765
"[20, 0.85, 0.2]",9161860,0.09341161900010775
"[20, 0.85, 0.2]",9764602,0.10601877699991746
"[20, 0.85, 0.3]",13,0.22427012099979038
"[20, 0.85, 0.3]",40,0.1872587489997386
"[20, 0.85, 0.3]",40,0.1900049880005099
"[20, 0.85, 0.3]",40,0.19497561600110203
"[20, 0.85, 0.3]",81,0.15936540999973658
"[20, 0.85, 0.3]",74,0.18384306100051617
"[20, 0.85, 0.3]",111,0.21426617999895825
"[20, 0.85, 0.3]",91,0.1671734639985516
"[20, 0.85, 0.3]",9030243,0.09717864400045073
"[20, 0.85, 0.3]",9691094,0.09951405399988289
"[20, 0.95, 0.1]",13,0.1840868719991704
"[20, 0.95, 0.1]",40,0.18462640500001726
"[20, 0.95, 0.1]",40,0.251702205001493
"[20, 0.95, 0.1]",40,0.1843566949992237
"[20, 0.95, 0.1]",82,0.15602915700037556
"[20, 0.95, 0.1]",70,0.1562584359999164
"[20, 0.95, 0.1]",111,0.21526025800085336
"[20, 0.95, 0.1]",92,0.19892628099842113
"[20, 0.95, 0.1]",8996582,0.09372012899984838
"[20, 0.95, 0.1]",9853650,0.08975521699903766
"[20, 0.95, 0.2]",13,0.23828128700006346
"[20, 0.95, 0.2]",40,0.1871967120005138
"[20, 0.95, 0.2]",40,0.19738321500153688
"[20, 0.95, 0.2]",39,0.21223503399960464
"[20, 0.95, 0.2]",82,0.1952485589990829
"[20, 0.95, 0.2]",70,0.17216404099963256
"[20, 0.95, 0.2]",116,0.20551055599935353
"[20, 0.95, 0.2]",92,0.17092311499982316
"[20, 0.95, 0.2]",9206702,0.12146776100053103
"[20, 0.95, 0.2]",9665664,0.1273707900018053
"[20, 0.95, 0.3]",13,0.20845925100002205
"[20, 0.95, 0.3]",39,0.18883303799884743
"[20, 0.95, 0.3]",40,0.1919358849991113
"[20, 0.95, 0.3]",40,0.19968139400043583
"[20, 0.95, 0.3]",88,0.17148888100018667
"[20, 0.95, 0.3]",77,0.21329176800099958
"[20, 0.95, 0.3]",116,0.1904288660007296
"[20, 0.95, 0.3]",91,0.16967249700064713
"[20, 0.95, 0.3]",9044418,0.0954807609996351
"[20, 0.95, 0.3]",9818210,0.1268284500001755
"[30, 0.75, 0.1]",13,0.2821336100005283
"[30, 0.75, 0.1]",40,0.3032750109996414
"[30, 0.75, 0.1]",39,0.27274531399962143
"[30, 0.75, 0.1]",40,0.27421469100045215
"[30, 0.75, 0.1]",85,0.23492394899949431
"[30, 0.75, 0.1]",72,0.25087127199913084
"[30, 0.75, 0.1]",111,0.27260672800002794
"[30, 0.75, 0.1]",92,0.24151867399996263
"[30, 0.75, 0.1]",9054996,0.13073136399907526
"[30, 0.75, 0.1]",9795484,0.13389745300082723
"[30, 0.75, 0.2]",13,0.28391413200006355
"[30, 0.75, 0.2]",40,0.3126566669998283
"[30, 0.75, 0.2]",40,0.2922896639993269
"[30, 0.75, 0.2]",40,0.2830633650009986
"[30, 0.75, 0.2]",83,0.24740567799926794
"[30, 0.75, 0.2]",73,0.28861258500000986
"[30, 0.75, 0.2]",116,0.3010376420006651
"[30, 0.75, 0.2]",96,0.2745055859995773
"[30, 0.75, 0.2]",9092311,0.15397269499953836
"[30, 0.75, 0.2]",9659190,0.14252155699978175
"[30, 0.75, 0.3]",13,0.2999936419982987
"[30, 0.75, 0.3]",40,0.3152272509996692
"[30, 0.75, 0.3]",40,0.2913390769990656
"[30, 0.75, 0.3]",40,0.2866547779995017
"[30, 0.75, 0.3]",87,0.24021086700122396
"[30, 0.75, 0.3]",70,0.24461529499967583
"[30, 0.75, 0.3]",116,0.28148022499954095
